name,longitude,latitude,issues,prov,key,scientificName,datasetKey,publishingOrgKey,installationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,hostingOrganizationKey,basisOfRecord,occurrenceStatus,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,iucnRedListCategory,dateIdentified,coordinateUncertaintyInMeters,stateProvince,year,month,day,eventDate,modified,lastInterpreted,references,license,isInCluster,datasetName,recordedBy,identifiedBy,inCluster,geodeticDatum,class,countryCode,country,rightsHolder,identifier,http://unknown.org/nick,verbatimEventDate,collectionCode,gbifID,verbatimLocality,occurrenceID,taxonID,catalogNumber,institutionCode,eventTime,http://unknown.org/captive,identificationID,occurrenceRemarks,informationWithheld,identificationRemarks,reproductiveCondition,elevation,institutionKey,recordNumber,habitat,http://unknown.org/recordID,county,locality,rights,startDayOfYear,higherClassification,collectionID,sex,otherCatalogNumbers,ownerInstitutionCode,georeferenceSources,http://unknown.org/recordEnteredBy,associatedTaxa,continent,institutionID,language,type,georeferenceRemarks,verbatimElevation,collectionKey,preparations,individualCount,georeferencedBy,disposition,nomenclaturalStatus,nomenclaturalCode,bibliographicCitation,accessRights,elevationAccuracy,endDayOfYear,establishmentMeans,associatedReferences,taxonRemarks,higherGeographyID,vernacularName,acceptedNameUsageID,nameAccordingToID,municipality,networkKeys,datasetID,locationAccordingTo,previousIdentifications,locationRemarks,fieldNumber,identificationVerificationStatus,georeferencedDate,higherGeography,georeferenceProtocol,georeferenceVerificationStatus,footprintWKT,verbatimCoordinateSystem,organismID,identificationQualifier,dynamicProperties,eventRemarks,projectId,depth,depthAccuracy,namePublishedInYear,nameAccordingTo,acceptedNameUsage,locationID,parentNameUsage,identificationReferences
Quercus douglasii Hook. & Arn.,-119.784088,34.538833,cdround,gbif,3455667977,Quercus douglasii Hook. & Arn.,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2022-08-15T19:10:43.905+00:00,2022-08-16T00:38:59.656+00:00,315,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,2878266,6,7707728,220,1354,4689,2877951,2878266,2878266,Quercus douglasii Hook. & Arn.,Plantae,Tracheophyta,Fagales,Fagaceae,Quercus,Quercus douglasii,Quercus,douglasii,SPECIES,ACCEPTED,LC,2022-01-09T18:28:04,200,California,2022,1,7,2022-01-07,2022-01-09T20:09:42.000+00:00,2022-08-16T00:38:59.656+00:00,https://www.inaturalist.org/observations/104655010,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,ianrhodes,ianrhodes,FALSE,WGS84,Magnoliopsida,US,United States of America,ianrhodes,104655010,ianrhodes,Fri Jan 07 2022 11:49:36 GMT-0800 (PST),Observations,3455667977,"Los Padres National Forest, Santa Barbara, CA, US",https://www.inaturalist.org/observations/104655010,49009,104655010,iNaturalist,21:49:36Z,wild,230619950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quercus douglasii Hook. & Arn.,-122.252929,38.69986,cdround,gbif,3455708315,Quercus douglasii Hook. & Arn.,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2022-08-15T19:10:43.905+00:00,2022-08-16T00:46:39.262+00:00,315,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,2878266,6,7707728,220,1354,4689,2877951,2878266,2878266,Quercus douglasii Hook. & Arn.,Plantae,Tracheophyta,Fagales,Fagaceae,Quercus,Quercus douglasii,Quercus,douglasii,SPECIES,ACCEPTED,LC,2022-01-16T17:18:09,NA,California,2022,1,12,2022-01-12,2022-01-16T18:18:21.000+00:00,2022-08-16T00:46:39.262+00:00,https://www.inaturalist.org/observations/105041742,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,Mari Villa,Mari Villa,FALSE,WGS84,Magnoliopsida,US,United States of America,Mari Villa,105041742,marivillasol,2022-01-12 11:10:24,Observations,3455708315,"Spanish Flat, CA 94558, USA",https://www.inaturalist.org/observations/105041742,49009,105041742,iNaturalist,19:10:24Z,wild,231861185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quercus douglasii Hook. & Arn.,-122.239118,38.702241,,gbif,3455805411,Quercus douglasii Hook. & Arn.,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2022-08-15T19:10:43.905+00:00,2022-08-16T00:41:56.941+00:00,315,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,2878266,6,7707728,220,1354,4689,2877951,2878266,2878266,Quercus douglasii Hook. & Arn.,Plantae,Tracheophyta,Fagales,Fagaceae,Quercus,Quercus douglasii,Quercus,douglasii,SPECIES,ACCEPTED,LC,2022-01-16T09:56:38,NA,California,2022,1,12,2022-01-12,2022-01-16T18:21:32.000+00:00,2022-08-16T00:41:56.941+00:00,https://www.inaturalist.org/observations/105024913,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,Mari Villa,Mari Villa,FALSE,WGS84,Magnoliopsida,US,United States of America,Mari Villa,105024913,marivillasol,2022-01-12 11:40:05,Observations,3455805411,"Spanish Flat, CA 94558, USA",https://www.inaturalist.org/observations/105024913,49009,105024913,iNaturalist,19:40:05Z,wild,231806715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quercus douglasii Hook. & Arn.,-119.960153,37.355233,cdround,gbif,3455815721,Quercus douglasii Hook. & Arn.,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2022-08-15T19:10:43.905+00:00,2022-08-16T00:15:34.480+00:00,315,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,2878266,6,7707728,220,1354,4689,2877951,2878266,2878266,Quercus douglasii Hook. & Arn.,Plantae,Tracheophyta,Fagales,Fagaceae,Quercus,Quercus douglasii,Quercus,douglasii,SPECIES,ACCEPTED,LC,2022-01-05T02:27:25,NA,California,2022,1,4,2022-01-04,2022-01-14T06:55:25.000+00:00,2022-08-16T00:15:34.480+00:00,https://www.inaturalist.org/observations/104381951,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,Christopher Bivins,Christopher Bivins,FALSE,WGS84,Magnoliopsida,US,United States of America,Christopher Bivins,104381951,cpqbivins,2022-01-04 15:13:53,Observations,3455815721,"Mariposa, CA 95338, USA",https://www.inaturalist.org/observations/104381951,49009,104381951,iNaturalist,23:13:53Z,wild,229795135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quercus douglasii Hook. & Arn.,-121.00275,36.624633,cdround,gbif,3455833426,Quercus douglasii Hook. & Arn.,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2022-08-15T19:10:43.905+00:00,2022-08-16T00:15:35.251+00:00,315,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,2878266,6,7707728,220,1354,4689,2877951,2878266,2878266,Quercus douglasii Hook. & Arn.,Plantae,Tracheophyta,Fagales,Fagaceae,Quercus,Quercus douglasii,Quercus,douglasii,SPECIES,ACCEPTED,LC,2022-01-04T03:09:38,NA,California,2022,1,3,2022-01-03,2022-01-04T04:19:12.000+00:00,2022-08-16T00:15:35.251+00:00,https://www.inaturalist.org/observations/104319850,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,Michael Hawk,Michael Hawk,FALSE,WGS84,Magnoliopsida,US,United States of America,Michael Hawk,104319850,naturesarchive,2022/01/03 9:05 AM PST,Observations,3455833426,"San Benito County, CA, USA",https://www.inaturalist.org/observations/104319850,49009,104319850,iNaturalist,17:05:00Z,wild,229607916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quercus douglasii Hook. & Arn.,-122.215852,38.691953,cdround,gbif,3456052445,Quercus douglasii Hook. & Arn.,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2022-08-15T19:10:43.905+00:00,2022-08-16T00:16:01.576+00:00,315,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,2878266,6,7707728,220,1354,4689,2877951,2878266,2878266,Quercus douglasii Hook. & Arn.,Plantae,Tracheophyta,Fagales,Fagaceae,Quercus,Quercus douglasii,Quercus,douglasii,SPECIES,ACCEPTED,LC,2022-01-15T07:48:33,NA,California,2022,1,12,2022-01-12,2022-01-16T18:37:11.000+00:00,2022-08-16T00:16:01.576+00:00,https://www.inaturalist.org/observations/104960294,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,Mari Villa,Mari Villa,FALSE,WGS84,Magnoliopsida,US,United States of America,Mari Villa,104960294,marivillasol,2022-01-12 16:35:59,Observations,3456052445,"Spanish Flat, CA 94558, USA",https://www.inaturalist.org/observations/104960294,49009,104960294,iNaturalist,00:35:59Z,wild,231615167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quercus douglasii Hook. & Arn.,-122.244546,38.704877,cdround,gbif,3456110821,Quercus douglasii Hook. & Arn.,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2022-08-15T19:10:43.905+00:00,2022-08-16T00:14:46.493+00:00,315,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,2878266,6,7707728,220,1354,4689,2877951,2878266,2878266,Quercus douglasii Hook. & Arn.,Plantae,Tracheophyta,Fagales,Fagaceae,Quercus,Quercus douglasii,Quercus,douglasii,SPECIES,ACCEPTED,LC,2022-01-16T10:01:35,NA,California,2022,1,12,2022-01-12,2022-01-16T18:21:10.000+00:00,2022-08-16T00:14:46.493+00:00,https://www.inaturalist.org/observations/105025055,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,Mari Villa,Mari Villa,FALSE,WGS84,Magnoliopsida,US,United States of America,Mari Villa,105025055,marivillasol,2022-01-12 11:26:43,Observations,3456110821,"Spanish Flat, CA 94558, USA",https://www.inaturalist.org/observations/105025055,49009,105025055,iNaturalist,19:26:43Z,wild,231807143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quercus douglasii Hook. & Arn.,-122.229498,38.699574,cdround,gbif,3456257682,Quercus douglasii Hook. & Arn.,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2022-08-15T19:10:43.905+00:00,2022-08-16T00:44:44.362+00:00,315,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,2878266,6,7707728,220,1354,4689,2877951,2878266,2878266,Quercus douglasii Hook. & Arn.,Plantae,Tracheophyta,Fagales,Fagaceae,Quercus,Quercus douglasii,Quercus,douglasii,SPECIES,ACCEPTED,LC,2022-01-16T08:22:38,NA,California,2022,1,12,2022-01-12,2022-01-16T18:23:12.000+00:00,2022-08-16T00:44:44.362+00:00,https://www.inaturalist.org/observations/105022719,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,Mari Villa,Mari Villa,FALSE,WGS84,Magnoliopsida,US,United States of America,Mari Villa,105022719,marivillasol,2022-01-12 12:20:51,Observations,3456257682,"Spanish Flat, CA 94558, USA",https://www.inaturalist.org/observations/105022719,49009,105022719,iNaturalist,20:20:51Z,wild,231799246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quercus douglasii Hook. & Arn.,-122.285681,38.919667,cdround,gbif,3456270423,Quercus douglasii Hook. & Arn.,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2022-08-15T19:10:43.905+00:00,2022-08-16T00:56:26.334+00:00,315,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,2878266,6,7707728,220,1354,4689,2877951,2878266,2878266,Quercus douglasii Hook. & Arn.,Plantae,Tracheophyta,Fagales,Fagaceae,Quercus,Quercus douglasii,Quercus,douglasii,SPECIES,ACCEPTED,LC,2022-01-19T06:46:38,NA,California,2022,1,16,2022-01-16,2022-01-20T01:05:29.000+00:00,2022-08-16T00:56:26.334+00:00,https://www.inaturalist.org/observations/105198534,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,Mari Villa,Mari Villa,FALSE,WGS84,Magnoliopsida,US,United States of America,Mari Villa,105198534,marivillasol,2022-01-16 12:31:33,Observations,3456270423,"Capay, CA 95607, USA",https://www.inaturalist.org/observations/105198534,49009,105198534,iNaturalist,20:31:33Z,wild,232348581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quercus douglasii Hook. & Arn.,-122.027111,38.489647,cdround,gbif,3456315753,Quercus douglasii Hook. & Arn.,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2022-08-15T19:10:43.905+00:00,2022-08-16T00:15:39.002+00:00,315,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,2878266,6,7707728,220,1354,4689,2877951,2878266,2878266,Quercus douglasii Hook. & Arn.,Plantae,Tracheophyta,Fagales,Fagaceae,Quercus,Quercus douglasii,Quercus,douglasii,SPECIES,ACCEPTED,LC,2022-01-02T05:13:54,NA,California,2022,1,1,2022-01-01,2022-01-04T03:06:03.000+00:00,2022-08-16T00:15:39.002+00:00,https://www.inaturalist.org/observations/104161101,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,Mari Villa,Mari Villa,FALSE,WGS84,Magnoliopsida,US,United States of America,Mari Villa,104161101,marivillasol,2022-01-01 12:55:07,Observations,3456315753,"Winters, CA 95694, USA",https://www.inaturalist.org/observations/104161101,49009,104161101,iNaturalist,20:55:07Z,wild,229197541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quercus douglasii Hook. & Arn.,-121.937055,37.88547,cdround,gbif,3456408956,Quercus douglasii Hook. & Arn.,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2022-08-15T19:10:43.905+00:00,2022-08-16T00:15:09.388+00:00,315,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,2878266,6,7707728,220,1354,4689,2877951,2878266,2878266,Quercus douglasii Hook. & Arn.,Plantae,Tracheophyta,Fagales,Fagaceae,Quercus,Quercus douglasii,Quercus,douglasii,SPECIES,ACCEPTED,LC,2022-01-02T05:48:18,583,California,2022,1,1,2022-01-01,2022-01-02T16:45:56.000+00:00,2022-08-16T00:15:09.388+00:00,https://www.inaturalist.org/observations/104162921,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,Adam Huggins,Adam Huggins,FALSE,WGS84,Magnoliopsida,US,United States of America,Adam Huggins,104162921,sunfishmoonlight,2022/01/01 3:03 PM PST,Observations,3456408956,"Contra Costa County, CA, USA",https://www.inaturalist.org/observations/104162921,49009,104162921,iNaturalist,23:03:00Z,wild,229201456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quercus douglasii Hook. & Arn.,-121.1276,38.698975,cdround,gbif,3456504594,Quercus douglasii Hook. & Arn.,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2022-08-15T19:10:43.905+00:00,2022-08-16T00:15:17.924+00:00,315,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,2878266,6,7707728,220,1354,4689,2877951,2878266,2878266,Quercus douglasii Hook. & Arn.,Plantae,Tracheophyta,Fagales,Fagaceae,Quercus,Quercus douglasii,Quercus,douglasii,SPECIES,ACCEPTED,LC,2022-01-17T22:50:37,3,California,2022,1,17,2022-01-17,2022-01-17T23:11:32.000+00:00,2022-08-16T00:15:17.924+00:00,https://www.inaturalist.org/observations/105122772,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,Clifford Hawley,Clifford Hawley,FALSE,WGS84,Magnoliopsida,US,United States of America,Clifford Hawley,105122772,vermfly,2022-01-17 14:47:39,Observations,3456504594,"Folsom, CA 95630, USA",https://www.inaturalist.org/observations/105122772,49009,105122772,iNaturalist,22:47:39Z,wild,232101675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quercus douglasii Hook. & Arn.,-122.250335,38.702095,cdround,gbif,3456527319,Quercus douglasii Hook. & Arn.,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2022-08-15T19:10:43.905+00:00,2022-08-16T00:50:40.752+00:00,315,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,2878266,6,7707728,220,1354,4689,2877951,2878266,2878266,Quercus douglasii Hook. & Arn.,Plantae,Tracheophyta,Fagales,Fagaceae,Quercus,Quercus douglasii,Quercus,douglasii,SPECIES,ACCEPTED,LC,2022-01-16T10:10:30,NA,California,2022,1,12,2022-01-12,2022-01-16T18:20:51.000+00:00,2022-08-16T00:50:40.752+00:00,https://www.inaturalist.org/observations/105025480,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,Mari Villa,Mari Villa,FALSE,WGS84,Magnoliopsida,US,United States of America,Mari Villa,105025480,marivillasol,2022-01-12 11:16:05,Observations,3456527319,"Spanish Flat, CA 94558, USA",https://www.inaturalist.org/observations/105025480,49009,105025480,iNaturalist,19:16:05Z,wild,231808179,Right next to the water!,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quercus douglasii Hook. & Arn.,-119.846725,37.233829,cdround,gbif,3456687183,Quercus douglasii Hook. & Arn.,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2022-08-15T19:10:43.905+00:00,2022-08-16T00:16:10.066+00:00,315,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,2878266,6,7707728,220,1354,4689,2877951,2878266,2878266,Quercus douglasii Hook. & Arn.,Plantae,Tracheophyta,Fagales,Fagaceae,Quercus,Quercus douglasii,Quercus,douglasii,SPECIES,ACCEPTED,LC,2022-01-15T20:56:23,69,California,2022,1,15,2022-01-15,2022-01-16T16:43:07.000+00:00,2022-08-16T00:16:10.066+00:00,https://www.inaturalist.org/observations/104984650,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,Saelon Renkes,erythronium123,FALSE,WGS84,Magnoliopsida,US,United States of America,Saelon Renkes,104984650,ceanothus,Sat Jan 15 2022 11:13:58 GMT -0800 (PST),Observations,3456687183,Raymond,https://www.inaturalist.org/observations/104984650,49009,104984650,iNaturalist,21:13:58Z,wild,231710072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quercus douglasii Hook. & Arn.,-122.289359,38.921269,,gbif,3456701024,Quercus douglasii Hook. & Arn.,50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2022-08-15T19:10:43.905+00:00,2022-08-16T00:53:16.580+00:00,315,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,2878266,6,7707728,220,1354,4689,2877951,2878266,2878266,Quercus douglasii Hook. & Arn.,Plantae,Tracheophyta,Fagales,Fagaceae,Quercus,Quercus douglasii,Quercus,douglasii,SPECIES,ACCEPTED,LC,2022-01-19T06:21:59,NA,California,2022,1,16,2022-01-16,2022-01-20T01:05:52.000+00:00,2022-08-16T00:53:16.580+00:00,https://www.inaturalist.org/observations/105197770,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,iNaturalist research-grade observations,Mari Villa,Mari Villa,FALSE,WGS84,Magnoliopsida,US,United States of America,Mari Villa,105197770,marivillasol,2022-01-16 12:51:53,Observations,3456701024,"Capay, CA 95607, USA",https://www.inaturalist.org/observations/105197770,49009,105197770,iNaturalist,20:51:53Z,wild,232345949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
